id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
111804550,https://www.idealista.com/inmueble/111804550/,sale,Córdoba,Córdoba,37.9244149,-4.7904127,True,,,Brillante - Trassierra - Naranjo,Brillante,,,,independantHouse,489.0,,,5,5,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
109756504,https://www.idealista.com/obra-nueva/109756504/,sale,Córdoba,Córdoba,37.868662,-4.7944257,False,,,Zoco - Poniente - Vistalegre,Vistalegre - Parque Cruz - Universidades,,,,flat,90.0,,,2,2,,False,,False,,,,,newdevelopment,True,,,,,,,,,,,,,True,,3,
109100668,https://www.idealista.com/inmueble/109100668/,sale,Córdoba,Córdoba,37.8857466,-4.7805568,True,,,Centro - Casco Histórico,Centro,,,,flat,168.0,,,4,2,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,2,
112355147,https://www.idealista.com/inmueble/112355147/,sale,Córdoba,Córdoba,37.8972521,-4.7546193,True,,,Levante - Lepanto - Fátima,Fátima - Campiñuela,,,,flat,85.0,,,3,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,1,
112182541,https://www.idealista.com/inmueble/112182541/,sale,Córdoba,Córdoba,37.8918682,-4.7659148,True,,,Centro - Casco Histórico,Casco Histórico - Ollerías - Marrubial,,,,flat,69.0,,,2,1,,False,,False,,,,,good,False,,,,,,,,,,,,,False,,1,
110898990,https://www.idealista.com/inmueble/110898990/,sale,Córdoba,Córdoba,37.8773735,-4.7992677,True,,,Zoco - Poniente - Vistalegre,Zoco - Poniente,,,,flat,120.0,,,3,2,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,,
110701571,https://www.idealista.com/inmueble/110701571/,sale,Córdoba,Córdoba,37.9063722,-4.8037989,True,,,Brillante - Trassierra - Naranjo,Brillante,,,,terracedHouse,394.0,,,5,3,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
110147462,https://www.idealista.com/inmueble/110147462/,sale,Córdoba,Córdoba,37.879254,-4.7826743,True,,,Centro - Casco Histórico,Judería - San Basilio,,,,flat,190.0,,,5,3,,False,,False,,,,,good,True,,,,,,,,,,,,,True,,1,
112020297,https://www.idealista.com/inmueble/112020297/,sale,Córdoba,Córdoba,37.896956,-4.8078365,True,,,Noreña - Figueroa,Tablero,,,,terracedHouse,285.0,,,5,3,,False,,False,,,,,good,,,,,,,,,,,,,,True,,,
109466117,https://www.idealista.com/inmueble/109466117/,sale,Córdoba,Córdoba,37.8801996,-4.7749512,True,,,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,,,,independantHouse,500.0,,,7,4,,False,,False,,,,,good,,,,,,,,,,,,,,False,,,
