id,url,operation,state,location_id,ubication__latitude,ubication__longitude,ubication__hasHiddenAddress,ubication__administrativeAreaLevel1,ubication__administrativeAreaLevel2,ubication__administrativeAreaLevel3,ubication__administrativeAreaLevel4,commercialDataId,price raw,house type,extendedPropertyType,constructedArea,usableArea,plotOfLand,roomNumber,bathNumber,isInTopFloor,isDuplex,flatLocation,isStudio,agencyIsABank,isPenthouse,energyCertificationType,energyPerformance,status,lift,isAuction,boxroom,swimmingPool,chimney,garden,communityCosts,heaterType1,heaterType2,construction year,manyFloors,orientation,terrace,has garage,garage price,floorNumber,air conditioning
302485,https://www.idealista.com/inmueble/302485/,sale,inactive,0-EU-ES-14-03-001-021-01-003,37.8832334,-4.7709485,False,Córdoba,Córdoba,Centro - Casco Histórico,Casco Histórico - Corredera - Ribera,,149000,flat,,90,70,,1,2,False,False,external,False,False,False,inProcess,,good,False,False,False,False,,False,55,individual,,,,,,,,Planta 1ª,True
306301,https://www.idealista.com/inmueble/306301/,sale,inactive,0-EU-ES-14-03-001-021-07-001,37.8823018,-4.7928482,False,Córdoba,Córdoba,Ciudad Jardín,Ciudad Jardín,,105000,flat,,60,,,2,1,False,False,external,False,False,False,unknown,,good,True,False,False,False,,False,,,,,,,,,,Planta 5ª,True
309836,https://www.idealista.com/inmueble/309836/,sale,inactive,0-EU-ES-14-03-001-021-11-001,37.8668641,-4.8135941,False,Córdoba,Córdoba,El Higuerón,El Higuerón,,230000,chalet,independantHouse,175,,890,3,2,False,False,,False,False,False,unknown,,good,False,False,True,True,,True,,,,,,,,,,,
319230,https://www.idealista.com/inmueble/319230/,sale,inactive,0-EU-ES-14-03-001-021-05-001,37.8840104,-4.7661408,False,Córdoba,Córdoba,Fuensanta - Zona Arcángel,Fuensanta - Arcángel - Santuario,,79000,flat,,84,73,,3,1,False,False,external,False,False,False,d,77.78,good,True,False,False,False,,True,60,,,,,,True,,,Planta 6ª,True
325015,https://www.idealista.com/inmueble/325015/,sale,inactive,0-EU-ES-14-03-001-021-02-002,37.8958503,-4.7874455,False,Córdoba,Córdoba,Noreña - Figueroa,Carretera Trassierra - Colonia de la Paz,,135000,flat,,70,,,2,1,False,False,external,False,False,False,unknown,,good,True,False,False,False,,False,60,,,,,,,,,Planta 1ª,True
341847,https://www.idealista.com/inmueble/341847/,sale,inactive,0-EU-ES-14-03-001-021-06-001,37.8707634,-4.7785893,False,Córdoba,Córdoba,Sector sur - Santa Cruz,Sector sur - Santa Cruz,,240000,flat,,110,,,3,1,False,False,external,False,False,False,unknown,,good,True,False,False,False,,False,,,,,,,True,,,Planta 7ª,True
362529,https://www.idealista.com/inmueble/362529/,sale,inactive,0-EU-ES-14-03-001-021-04-005,37.910849,-4.7105761,False,Córdoba,Córdoba,Levante - Lepanto - Fátima,Alcolea,,85000,flat,,87,,,3,1,False,False,external,False,False,False,unknown,,good,False,False,False,False,,False,50,individual,Bomba de frío/calor,,,,,,,Planta 3ª,True
405262,https://www.idealista.com/inmueble/405262/,sale,inactive,0-EU-ES-14-03-001-021-08-001,37.9242309,-4.8168326,False,Córdoba,Córdoba,Brillante - Trassierra - Naranjo,Trassierra - Las Jaras,,195000,chalet,semidetachedHouse,96,,300,3,2,False,False,,False,False,False,unknown,,good,False,False,False,True,,False,,,,,,,,,,,
407141,https://www.idealista.com/inmueble/407141/,rent,active,0-EU-ES-14-03-001-021-09-003,37.8712433,-4.790382,False,Córdoba,Córdoba,Zoco - Poniente - Vistalegre,Vistalegre - Parque Cruz - Universidades,,600,flat,,90,,,3,1,False,False,external,False,False,False,unknown,,good,True,False,False,False,,True,,,,,,,True,True,,Planta 2ª,
441263,https://www.idealista.com/inmueble/441263/,sale,inactive,0-EU-ES-14-03-001-021-08-001,37.915155,-4.8190899,False,Córdoba,Córdoba,Brillante - Trassierra - Naranjo,Trassierra - Las Jaras,,110000,chalet,independantHouse,150,,5000,4,4,False,False,,False,False,False,unknown,,renew,False,False,False,False,,False,25,individual,,,,,,,,,
